,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
198,Greenbriar,33.6824236,-84.4933758,American Deli,33.688926100730896,-84.49310302734375,Deli / Bodega
199,Greenbriar,33.6824236,-84.4933758,Han's Chinese Carryout,33.688464760780334,-84.48863772,Chinese Restaurant
200,Greenbriar,33.6824236,-84.4933758,Shoeland,33.68786931037903,-84.48735237121582,Shoe Store
201,Greenbriar,33.6824236,-84.4933758,American Deli,33.68883873684385,-84.48890860307472,Wings Joint
202,Greenbriar,33.6824236,-84.4933758,China King,33.688031718797156,-84.48718070983885,Chinese Restaurant
203,Greenbriar,33.6824236,-84.4933758,Metro PCS,33.68912811016728,-84.48877298194377,Electronics Store
204,Adamsville,33.7595402,-84.5054158,Planet Fitness,33.75980501110557,-84.50498563311946,Gym / Fitness Center
205,Adamsville,33.7595402,-84.5054158,Dollar Tree,33.75903,-84.50477,Discount Store
206,Adamsville,33.7595402,-84.5054158,Dollar General,33.757483577744715,-84.50206160545349,Discount Store
207,Adamsville,33.7595402,-84.5054158,Church's Chicken,33.758884985741304,-84.50412959841019,Fried Chicken Joint
208,Adamsville,33.7595402,-84.5054158,Cascade Skating Center,33.755307619761346,-84.49681357051772,Roller Rink
209,Adamsville,33.7595402,-84.5054158,KFC,33.75897016313427,-84.50587399548635,Fried Chicken Joint
210,Adamsville,33.7595402,-84.5054158,Chevron,33.761967205943996,-84.50879008003017,Gas Station
211,Adamsville,33.7595402,-84.5054158,Popeyes Louisiana Kitchen,33.754513,-84.4972,Fried Chicken Joint
212,Adamsville,33.7595402,-84.5054158,Family Dollar,33.75744511923549,-84.50272177797525,Discount Store
213,Adamsville,33.7595402,-84.5054158,Yasin's Homestyle Seafood,33.75851377454758,-84.50361834935882,Seafood Restaurant
214,Adamsville,33.7595402,-84.5054158,Checkers,33.75854950186206,-84.50470358133316,Fast Food Restaurant
215,Adamsville,33.7595402,-84.5054158,McDonald's,33.75773355820623,-84.50343288481236,Fast Food Restaurant
216,Adamsville,33.7595402,-84.5054158,Bottle House,33.75943087107487,-84.50588628521933,Liquor Store
217,Adamsville,33.7595402,-84.5054158,Package Store Bottle House,33.759724549655374,-84.50544583810336,Liquor Store
218,Adamsville,33.7595402,-84.5054158,Beauty & More,33.759824,-84.504118,Cosmetics Shop
219,Adamsville,33.7595402,-84.5054158,Citgo Food Mart,33.76148495384444,-84.50762689431266,Gas Station
220,Adamsville,33.7595402,-84.5054158,tropical breeze laundry,33.764626535010805,-84.51069513668578,Laundromat
221,Adamsville,33.7595402,-84.5054158,A and L Fish and Que,33.765347,-84.510707,Food
222,Baker Hills,33.7602634,-84.5209081,Valero,33.76523480475167,-84.52914897901002,Gas Station
223,Baker Hills,33.7602634,-84.5209081,Piece of Cake,33.7620415369851,-84.52067613601685,Cupcake Shop
224,Baker Hills,33.7602634,-84.5209081,Subway,33.767547143825375,-84.52624564895513,Sandwich Place
225,Baker Hills,33.7602634,-84.5209081,Chevron,33.76488074896756,-84.52988945966759,Gas Station
226,Baker Hills,33.7602634,-84.5209081,RAPHIL USA INC.,33.7646242,-84.52759859999999,Business Service
227,Baker Hills,33.7602634,-84.5209081,Shamrock Gas Station,33.76762492971486,-84.52335834503174,Gas Station
228,Baker Hills,33.7602634,-84.5209081,I-20 at Fulton Industrial Boulevard SW,33.76645655015028,-84.52740680426359,Intersection
